compid;composito;holeid;midx;midy;midz;SampleID;Campana;Starkey_min;BWI_kwh_tc;BWI_kwh_tm;Ai_;Rec_Cut_pct;Rec_As_pct;Rec_Ag_pct;Rec_Zn_pct;Rec_Peso_pct;VelSed_CF12_mh;pct_Sol_FinalesCF;VelSed_SFLO_mh;Sol_FinalesSF_pct;YS54pct_pa;YS57pct_pa;YS60pct_pa;pH_Natural;Lito;Alte;PISO;UGE;IND88;UGM_Starkey;UGM_Wi;UGM_Rec_Cu;UGM_Rec_As;UGM_Rec_Ag;UGM_Rec_Zn;UGM_VelSed;UGM_YS;k Cu Klimpel;k Ag Klimpel;k Cu GZ;k Ag GZ;RecMasica CF_12 Min;RecMasica TF_12 min
compid;PGD-001;MHDD0080;8909158;24374246;2185868;MGM-17909;PGD2016;57.3;13.4;14.8;-99;95.1;97.1;86.4;82.1;33.92;5.3;50.05;0.13;40.22;3.11;6.23;10.06;-99;Andesita;Argilica Avanzada;BAS;C5;1;5;5;4;4;5;2;6;6;-99;-99;0.39;-99;35.88727804;33.92149533
compid;PGD-002;MHDD0048;9259781;24442823;2092540;MGM-17910;PGD2016;31.5;11.6;12.8;-99;95.9;95.1;94.7;66.7;25.62;5.5;48.16;0.04;20.27;14.83;23.93;70.03;-99;Granodiorita;Argilica Avanzada;AAS;C1;1;4;4;4;3;4;3;5;6;-99;-99;0.57;-99;27.73684358;25.61682243
compid;PGD-003;MHDD0048;9266329;24442385;2076587;MGM-17911;PGD2016;21.4;9.7;10.7;-99;92.1;94.9;90.9;90.3;22.05;2.7;41.52;0.03;18.15;14.63;27.81;35.03;-99;Granodiorita;Argilica Avanzada;AAS;BHX;1;5;5;3;3;3;3;23;4;-99;-99;0.45;-99;19.09798983;22.04953271
compid;PGD-004;MHDD0048;9269506;24442184;2068977;MGM-17912;PGD2016;25.3;12.6;13.9;-99;93;94.6;76.5;92.4;17.5;5.2;49.13;0.03;18.67;14.57;19.47;36.43;-99;Granodiorita;Filica;AAS;C5;1;3;3;3;3;3;3;23;3;-99;-99;0.36;-99;18.93225283;17.49906542
compid;PGD-005;MHDD0078;8888311;24424422;2225942;MGM-17913;PGD2016;41.1;14.2;15.7;-99;92.9;96.3;73.8;78.9;14.46;6.8;52.37;0.05;26.05;6.22;16.55;45.04;-99;Andesita;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;6;5;-99;-99;0.45;-99;18.33020164;14.45555556
compid;PGD-006;MHDD0079;8998729;24423706;2231681;MGM-17914;PGD2016;35.4;11.7;12.9;-99;93.8;93.5;88.4;87.4;22.4;4.1;43.17;0.03;20.29;8.84;13.38;17.2;-99;Andesita;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;6;5;-99;-99;0.64;-99;22.46569943;22.40093458
compid;PGD-007;MHDD0030;8940850;24472211;2195929;MGM-17915;PGD2016;43.8;13.8;15.3;-99;94.7;94.7;63.1;84.4;18.25;3;48.88;0.07;36.64;3.5;6.82;9.1;-99;Andesita;Argilica Avanzada;AAS;C1;1;4;4;4;3;4;3;6;6;-99;-99;0.39;-99;15.40035887;18.24766355
compid;PGD-008;MHDD0030;8942918;24472097;2187170;MGM-17916;PGD2016;37.8;13.1;14.4;-99;94.2;97.1;85.5;90.2;24.37;12;59.05;0.14;44.34;3.9;7.43;10.12;-99;Andesita;Argilica Avanzada;AAS;C1;1;4;4;4;3;4;3;6;6;-99;-99;0.31;-99;21.77053508;24.37102804
compid;PGD-009;MHDD0049;9327138;24445367;2096878;MGM-17917;PGD2016;32.3;13.7;15.1;-99;96.1;96.5;92.7;92.6;21.13;5;54.15;0.06;32.09;6.15;7.39;14.15;-99;Granodiorita;Argilica Avanzada;AAS;BHX;1;5;5;3;3;3;3;23;4;-99;-99;0.35;-99;19.08444602;21.1271028
compid;PGD-010;MHDD0031;8921769;24518519;2177349;MGM-17918;PGD2016;44.1;13.1;14.4;-99;97.3;97.1;92.9;93.7;30.25;11.2;55.25;0.13;39.33;3.6;14.04;17.77;-99;Brecha Hidrotermal;Argilica Avanzada;AAS;BHX;1;5;5;3;3;3;3;23;4;-99;-99;0.11;-99;11.70381423;30.25420561
